state,year,total_cases,Group_Name,Sub_Group_Name,crime_type,Subgroup
Andaman & Nicobar Islands,2001,6,Murder - Female Victims,2. Female Victims,Murder,
Andhra Pradesh,2001,607,Murder - Female Victims,2. Female Victims,Murder,
Arunachal Pradesh,2001,16,Murder - Female Victims,2. Female Victims,Murder,
Assam,2001,128,Murder - Female Victims,2. Female Victims,Murder,
Bihar,2001,366,Murder - Female Victims,2. Female Victims,Murder,
Chandigarh,2001,5,Murder - Female Victims,2. Female Victims,Murder,
Chhattisgarh,2001,549,Murder - Female Victims,2. Female Victims,Murder,
Delhi,2001,152,Murder - Female Victims,2. Female Victims,Murder,
Goa,2001,13,Murder - Female Victims,2. Female Victims,Murder,
Gujarat,2001,363,Murder - Female Victims,2. Female Victims,Murder,
Haryana,2001,143,Murder - Female Victims,2. Female Victims,Murder,
Himachal Pradesh,2001,39,Murder - Female Victims,2. Female Victims,Murder,
Jammu & Kashmir,2001,187,Murder - Female Victims,2. Female Victims,Murder,
Jharkhand,2001,291,Murder - Female Victims,2. Female Victims,Murder,
Karnataka,2001,577,Murder - Female Victims,2. Female Victims,Murder,
Kerala,2001,156,Murder - Female Victims,2. Female Victims,Murder,
Lakshadweep,2001,2,Murder - Female Victims,2. Female Victims,Murder,
Madhya Pradesh,2001,622,Murder - Female Victims,2. Female Victims,Murder,
Maharashtra,2001,1068,Murder - Female Victims,2. Female Victims,Murder,
Manipur,2001,8,Murder - Female Victims,2. Female Victims,Murder,
Meghalaya,2001,6,Murder - Female Victims,2. Female Victims,Murder,
Mizoram,2001,12,Murder - Female Victims,2. Female Victims,Murder,
Nagaland,2001,2,Murder - Female Victims,2. Female Victims,Murder,
Odisha,2001,260,Murder - Female Victims,2. Female Victims,Murder,
Puducherry,2001,10,Murder - Female Victims,2. Female Victims,Murder,
Punjab,2001,203,Murder - Female Victims,2. Female Victims,Murder,
Rajasthan,2001,248,Murder - Female Victims,2. Female Victims,Murder,
Sikkim,2001,6,Murder - Female Victims,2. Female Victims,Murder,
